Method,alien,amidar,assault,asterix,bankheist,battlezone,boxing,breakout,choppercommand,crazyclimber,demonattack,freeway,frostbite,MedianHNS26
DER \cite{hasselt_when_2019},7.422517554475033,10.668541718940556,40.18590866226593,3.144707173260343,4.980376234943835,22.29445122388917,1.244813278008299,0.6254343293954132,0.7724121153144379,21.57699539700345,19.568097727785016,94.25481581615408,18.775032205176245,16.13615779546773
CURL \cite{srinivas_curl_2020},4.789165138877819,7.955162131724366,72.78728276976963,6.324382332726418,15.888482879956692,35.91989089081903,9.54356846473029,11.049339819318972,3.7632283177229047,5.453333280104116,36.58909358798854,90.19939168638054,26.141234336573365,17.528544107323352
OTRainbow (100k) \cite{kielak_importance_2020},8.651511967478026,4.494873754908883,24.924462577702503,5.046242147275512,22.72296657193125,4.882922977532123,20.33195020746889,28.21403752605976,3.380519401532659,42.10683902287126,30.77248712154948,84.45420750253464,3.8974118749268056,20.534440488418756
SPR \cite{schwarzer_data-efficient_2021},8.315277646939471,9.950809053934984,67.0907026423664,9.258075796124585,49.62782514548653,41.03366592491565,296.6804979253112,53.43988881167477,2.4905729230020675,128.32140333507658,21.613256145096297,82.42649543764784,41.135964398641526,41.53937840436183
DrQ \cite{kostrikov_image_2021},7.876144030029204,5.661918738657781,44.26589172648717,4.744793990329543,20.936527270266616,30.418491134879048,49.37759336099585,49.96525364836692,-0.4667923610266398,38.8679742423819,52.85140164822176,33.085501858736066,6.227895538119219,26.75572528875417
EfficientZero \cite{ye_mastering_2021},8.416727657446794,8.334451751442758,200.28675352668347,305.64190370540075,45.58126945459467,33.05204220802527,436.929460580913,1432.8700486448922,4.657280136236467,292.06751593882365,706.5599006009027,73.63974315647178,5.412811804660969,109.01793044067236
PlayVirtual \cite{yu_playvirtual_2021},10.43558286654251,9.30893431287309,92.35965435615172,8.72149807676076,31.357423196643666,31.297107171057355,317.4273858921162,65.60111188325226,1.693832867047804,49.48800146912639,53.85748764383457,54.37647854004732,44.95842604520436,47.22321375716537
SGI-M \cite{schwarzer_pretraining_2021},12.666033811839217,9.47815583551668,131.3889263101172,7.543438679415915,80.41683583705507,31.03869068982844,305.8091286307054,142.73801250868658,9.01654299963508,310.51543181536914,44.8631887978097,101.35180804325786,15.835577936526525,67.8712587584073
SWM (4 frames) \cite{robine_smaller_2021},2.6398742019869705,1.857352091636372,29.44708531398549,3.549853496195724,11.774259033698742,9.392577704400258,-23.651452282157678,24.6004169562196,-0.6811823379150947,146.73857933881328,2.3601787864293846,83.10239945927678,3.4945543974704294,7.306603049160349
ADAT+ \cite{kim_action-driven_2022},11.622547989478186,8.25859382749908,101.4241450318508,7.885883785706535,20.273379347678983,54.21003517335439,2.904564315352697,9.65948575399583,4.4854640554677045,41.75632462902562,38.47481761255244,100.33795201081446,43.98641527110903,20.593651434517465
EqR (LR+LGET) \cite{mondal_eqr_2022},9.35006775411416,7.739258809730821,98.51811935874984,8.350113947403326,51.86087427256733,31.28275069987797,324.89626556016606,49.61779013203613,5.035883712443742,164.5884649625333,20.89305250889259,85.13011152416357,38.27614474762853,39.8262626881728
S-RYM \cite{cetin_hyperbolic_2022},6.542801034790108,6.58505132080316,93.12176440022324,3.91882604029759,32.5889836243064,67.3031368889527,76.59751037344398,196.17790132036131,1.1707821432915704,45.69262522505978,213.28638265353808,99.66204798918554,24.52277784283874,36.60169864309663
MLR \cite{yu_mask-based_2022},11.048630787179617,12.950114662169652,81.08196532014396,8.123424933379958,22.479361212613348,39.39415691622999,218.6721991701245,52.39749826268242,1.515934801119086,55.30302727864297,38.623256529937926,102.0277120648868,54.24288558379201,42.81655634296138
A-LIX \cite{cetin_stabilizing_2022},9.771809940651744,9.83235398808447,84.32093300744789,7.2287268035643235,84.61226146975233,34.77137319646831,178.00829875518673,75.74704656011119,-0.9731176255929936,169.2110232385454,40.46774752189474,104.86650895572828,41.7027755006441,41.08526151126942
VCR-K5 \cite{yue_value-consistent_2022},8.618178392597049,9.618201233566548,67.2061738611651,10.387903488358074,39.17986195696305,31.299978465293236,352.28215767634856,57.95691452397498,3.2416980902566603,116.8430549844504,22.448912272599824,63.16323082122338,52.21922941796464,45.69954568746384
BarlowRL \cite{cagatan_barlowrl_2023},7.350053261255517,10.744399642884234,110.43090009815054,7.695368550516684,61.21261334416024,48.702892828942645,2.074688796680498,3.057678943710911,5.701861087458947,49.78382284252003,39.40943301831296,93.24095978371072,53.52383183042512,29.60014174092189
