Method,gopher,hero,jamesbond,kangaroo,krull,kungfumaster,mspacman,pong,privateeye,qbert,roadrunner,seaquest,upndown,MedianHNS26
DER \cite{hasselt_when_2019},4.264699057960925,19.564233275602923,99.5617238860482,24.38149513912169,117.42470373319593,62.67339330361512,13.49728338575922,3.993203058623619,0.1047646490772486,7.441208867273789,122.4037786430076,0.6804600548274081,21.00396064445599,16.13615779546773
CURL \cite{srinivas_curl_2020},19.105294909276527,17.6256055904425,161.4317019722425,27.505866577271203,246.52676940371916,62.50300296292342,17.431482624204204,11.922967997734355,0.2781741560593538,6.609826711368193,72.1197421331461,0.7528646248895474,21.70110575458341,17.528544107323352
OTRainbow (100k) \cite{kielak_importance_2020},24.14961251102139,18.22796610539195,30.4236669101534,18.55179349648005,157.37036863553328,24.307094110633603,9.551043751787246,62.33361653922401,0.1079280065843848,2.59887804789965,34.278419608093444,0.5204554819071936,20.736930769368623,20.534440488418756
SPR \cite{schwarzer_data-efficient_2021},21.235324144971923,20.108538988833008,122.863403944485,108.09252430439156,195.8733430137243,57.54210821343726,15.139292325752905,41.94279241008213,0.1424373612076893,3.801184550286206,181.3876300504245,1.225876059571813,247.3619598917543,41.53937840436183
DrQ \cite{kostrikov_image_2021},17.573901341129513,9.091885314584877,75.6026296566837,29.788803218236676,226.71319499742376,39.38330263637901,9.830982947789837,34.57943925233645,-0.0554162719659231,5.195348473266361,113.4052466968788,0.5544665760021722,23.72264735927167,26.75572528875417
EfficientZero \cite{ye_mastering_2021},139.34289294166783,27.815733388188967,178.23228634039444,22.53100905129065,380.8375099536278,136.51825356574042,14.65767650467318,115.57632398753891,0.1031829703236805,102.45953689380578,226.46071360183825,2.4574682694116894,149.9202494668363,109.01793044067236
PlayVirtual \cite{yu_playvirtual_2021},19.801382894797896,25.404949020836977,133.5646457268079,78.19979886020784,213.84139772354672,62.28589986564521,15.47341330162696,50.15576323987538,0.0991568789509616,26.00397859623568,172.62398672368673,1.0939282575506777,86.845642395025,47.22321375716537
SGI-M \cite{schwarzer_pretraining_2021},65.09814840595853,21.63474267796397,123.22863403944484,71.09621186724775,387.4607709962996,70.64436911085605,18.251734569480607,80.17558765222316,0.0935491088246746,4.107404041194421,234.3613965660305,1.5719413237174984,705.1685514077313,67.8712587584073
SWM (4 frames) \cite{robine_smaller_2021},19.935959905332037,8.143209450650566,13.732651570489406,6.469996647670131,180.0693240901213,51.8048919378231,5.190915521574883,92.07023506088927,0.1070652727188022,2.3852015481012887,19.7995787323674,0.9281598997768322,5.3298446208713415,7.306603049160349
ADAT+ \cite{kim_action-driven_2022},15.945055455009513,20.913923521355944,221.58509861212565,30.335232986925917,178.44863928052837,84.02735143118989,11.554264557590717,15.887850467289722,0.522040262064039,10.63958492587532,159.5263930554669,0.4363328037955238,27.45927346368214,20.593651434517465
EqR (LR+LGET) \cite{mondal_eqr_2022},30.37263910158244,17.085997953652132,106.17238860482104,108.74958095876634,362.513466672912,76.7530630221819,20.411480517134983,41.37638062871708,0.0919674300711065,4.898157566856668,174.85542860790196,1.4992985807275232,462.2394666571085,39.8262626881728
S-RYM \cite{cetin_hyperbolic_2022},40.614413661886864,22.24012338491038,128.19576333089847,32.450553134428425,214.2461005199307,46.025411739583056,12.46632451876044,92.5800056641178,0.1166416186267692,19.09635907282456,283.9662985893917,0.9726982372821612,24.387533826771087,36.60169864309663
MLR \cite{yu_mask-based_2022},26.2053923615945,23.12906656268257,143.97370343316288,283.7412001340932,217.8134807250925,46.238955769692765,17.66928043586232,72.52902860379496,0.1079280065843848,24.426233455118904,153.675879236612,1.3335302229536778,55.0395168372193,42.81655634296138
A-LIX \cite{cetin_stabilizing_2022},11.276625365446192,20.667777873603622,114.13440467494522,216.3928930606772,307.83549580776616,71.43715132263834,14.314525232153878,75.7292551685075,0.1079280065843848,21.142838225822956,222.88249186187528,1.396169702974542,40.12885535583074,41.08526151126942
VCR-K5 \cite{yue_value-consistent_2022},13.0910947143719,16.14738939637436,129.108838568298,112.00469326181695,243.6788608365731,86.4016941159722,17.60456330990473,61.20079297649391,0.1063463278308167,4.719090640969308,137.03453118018766,1.0784470172413383,126.71105216939372,45.69954568746384
BarlowRL \cite{cagatan_barlowrl_2023},2.3434962179219454,20.591434131458215,115.48575602629656,46.24874287629903,147.95540774743546,46.52546067675662,30.59313998464849,10.790144435004256,0.0889478615415673,5.169767483853881,37.57068998531946,1.0403393487875807,28.60714349719529,29.60014174092189
BBF (RR8) \cite{schwarzer_bigger_2023},49.82133741704951,22.791140635911493,401.972242512783,220.00335232986927,620.6707574125252,83.34089635106639,25.600890989269,105.94732370433304,0.022373564914109,32.22617807980065,426.56922193144834,2.7725710529386967,103.66045986487212,91.70508703990858
SR-SPR (RR16) \cite{doro_sample-efficient_2023},21.105387721007933,25.158300007751823,131.51935719503285,120.00335232986926,404.3608599934423,81.81806048634654,19.065966316993517,66.86491079014444,0.1049084380548457,29.19407845238024,171.72272930363184,1.7877259963369003,1002.8575780927972,68.45072579702106
STORM \cite{zhang_storm_2023},370.4301823750522,33.61483759924268,175.31044558071585,139.32282936640965,638.432713476041,115.32934717810464,35.60495462275935,89.80458793542905,11.1523593758178,32.78971222891675,224.06970064466717,1.0874975884991058,66.77180594634312,58.19479803918963
TWM \cite{robine_transformer-based_2023},65.76639287205901,20.896473523151283,121.76771365960556,39.825678846798525,445.0934469998594,108.0893147905934,19.281188387038515,111.8946474086661,0.0886602835863731,23.827337350050257,116.13582689730006,1.681500870522051,138.42810803060985,50.5326797265526
IRIS \cite{micheli_transformers_2023},91.81400529026868,20.169613982549325,158.40029218407597,26.35601743211532,470.1250644058269,95.65571363745562,10.41193203196725,100.0,0.1079280065843848,4.377509194108548,122.59015765622009,1.4121272891395529,26.996899586014084,28.879973014599173
DIAMOND \cite{alonso_diffusion_2024},261.74300431574545,15.419187548218204,145.50766983199415,178.68588669125043,656.8972785610567,82.10367562661826,24.84686121939105,116.42594165958651,0.1284898303807704,32.61892150548637,263.7607710474245,1.149898895592134,29.7756232190541,37.3414986628634
EfficientZero-V2 \cite{wang_efficientzero_2024},167.5762216344146,29.121463061541785,160.44558071585098,61.50519611129735,700.9180757880931,127.34698235592452,29.25364598227052,117.55876522231664,0.1076404286291906,119.58676168750264,351.12274206931767,4.538623312842523,131.64124805104032,123.46687202171356
SAC-BBF (RR2) \cite{zhang_generalizing_2024},43.89994895354772,19.904071990638748,428.6705624543462,175.5481059336239,588.9521757459365,77.80298783688797,24.308204024502203,102.68762390257716,0.0498113776191881,30.622851949271396,308.3436522627178,2.324329602751374,307.4879478126848,90.24530586973256
HarmonyDream \cite{ma_harmonydream_2024},593.3175553389948,41.44720217802824,105.18626734842952,169.8290311766678,576.696800786922,97.94330406000589,20.67486416928796,112.46105919003116,4.180031852134317,28.358182004225377,186.81942937384312,1.4209396874694842,92.6593666553164,67.05328441667231
REM \cite{cohen_improving_2024},241.0691911457608,18.315216096415263,132.2863403944485,13.932282936640965,226.67572251627703,110.83691464467164,9.86108393660732,109.62900028320588,0.1073528506739964,4.357194878986872,179.34129061083806,2.306228460235839,28.89119876700299,28.03543500190649
DART \cite{agarwal_learning_2024},79.95266601698454,13.0875993265643,118.3710737764792,78.04223935635267,567.7315096725841,104.48442463230388,12.422678084975091,107.36335315774566,1.0651312304482938,4.41663306026881,99.07448777685582,1.9706428049149367,30.655567304073543,78.9974526866686
MOOSS \cite{sun_mooss_2024},21.987099169335,28.53823042923976,108.58290723155588,203.5098893731143,243.36971286711315,85.16758757529652,15.876766551781229,46.92721608609459,0.1079280065843848,24.33293808196751,243.3841833152486,0.9219674036530964,57.62200039427229,41.254904556736776
DreamerV3 \cite{hafner_mastering_2024},88.28251891039027,41.36666372477595,186.6325785244704,86.8588669125042,615.761862382313,114.07477600121008,18.266785063889348,47.32370433305013,4.62002612358145,20.744075743804885,245.3373332482288,2.1283132831423583,415.56837936163726,49.41736146234015
SimPLe \cite{kaiser_model-based_2024},15.74086964592324,5.468661648897311,26.113951789627464,-0.0268186389540729,56.841069839336754,64.97077116087874,17.649714793130954,94.90229396771454,0.0144651711462684,8.463696061731442,71.85932214208208,1.4645253332634691,25.24149178300686,13.406831673431276
PaMoRL \cite{wang_parallelizing_2024},224.02895726019764,37.07866224286841,137.32651570489406,83.89875963794836,531.6548784486392,108.40117805123278,28.51165660791957,102.54885301614271,7.108438169876901,34.35692402145192,315.50647858556204,1.2546949838399672,102.17387408376491,71.75341398737558
Drama (XS) \cite{wang_drama_2025},115.9868207341408,23.218665591925756,125.27392257121988,44.65303385853168,758.3446531453463,105.26608475918462,29.5396053760366,101.1328235627301,0.0935491088246746,4.755957361004941,178.8281100402119,1.02080916870503,61.41328697646911,26.972803190494798
DyMoDreamer \cite{zhang_dymodreamer_2025},612.5249431528144,29.688923580081905,187.28999269539807,158.7931612470667,751.955595109841,112.92430753899404,23.046822088105596,117.84197111299916,4.337768360558338,11.829100933555637,267.57260483819493,1.2465971042935435,195.23736984533767,76.38893576648215
EDELINE \cite{lee_edeline_2025},271.2283632651167,39.44313699960033,275.8582907231556,174.92457257794166,763.572064265305,138.75690681472386,23.207862378279128,116.70914755026904,0.1072090616963993,49.74990820939093,408.6104550967001,4.934228545978093,45.85118012867614,81.70267098113341
FNC \cite{yang_full_2025},63.673488328924776,15.361468323387394,376.0774287801314,273.2148843446195,606.7778350274017,94.53816654654815,25.399214364191863,87.53894080996884,0.0417850768897178,20.568770728125244,392.05336056679647,1.827262702357674,148.39244430903778,89.54507026980362
RLPD-GX \cite{cai_guardian_2025},202.6265719987006,21.473665771459387,455.4419284149014,227.01977874622864,764.8086561431448,107.32144604899057,70.98866697771021,118.12517700368169,6.0550401200005295,130.16299604548,488.7278994063957,17.092718339077273,88.25068549615584,125.89596236880286
TWISTER \cite{burchi_learning_2025},1019.8338670007888,25.99388646024437,198.6851716581446,199.93295340261483,678.3409058972317,103.13954212600878,28.57637373387716,115.2931180968564,2.276265788748685,22.82065017846502,227.49090444884152,1.1041696934476246,58.55481281026541,77.2566600761552
GIT-STORM \cite{meo_masked_2025},385.3728711309109,41.35659641811941,161.4317019722425,51.927589674824006,507.091667057005,108.68723807490058,23.62476107340126,75.64429340130275,3.163443780522805,28.29046762048646,222.6016467734729,0.930303456127356,85.70583702216885,42.62828131145916
EMERALD \cite{burchi_accurate_2026},670.3048865376584,22.24213684624169,60.62819576333089,292.59135098893734,562.2698955454588,100.38126507042504,21.111328507141454,115.2931180968564,0.1079280065843848,8.134152727535376,84.36203485032233,0.9517390196325946,42.05810139966666,51.34314858149878
OC-STORM \cite{zhang_object-centric_2026},194.87679242656267,18.168233419229832,116.14317019722424,139.65806235333557,760.4056396084126,110.01743942912564,31.51122014358171,118.12517700368169,0.0863596599448195,32.9702839188872,261.3199719154912,1.532880963552397,54.56728615208157,43.76878503548439
JEDI \cite{lim_performance_2026},180.8761427444429,21.530378265624535,157.59678597516435,22.929936305732483,646.5267694037191,55.46227833684792,11.567810002558586,110.19541206457092,0.1010261356597239,25.898645110419587,187.38111955064787,2.465804321885949,32.77567698345848,36.09065953831599
Simulus \cite{cohen_simulus_2026},190.52392222376903,21.610581141988288,237.03433162892625,221.3878645658733,475.8302496604056,139.90203667618718,14.680252246286292,115.00991220617388,0.1079280065843848,17.01677510999825,312.2525052658454,4.125155110119254,88.55983082134088,98.16636353503677
