Method,alien,amidar,assault,asterix,bankheist,battlezone,boxing,breakout,choppercommand,crazyclimber,demonattack,freeway,frostbite,gopher,hero,jamesbond,kangaroo,krull,kungfumaster,mspacman,pong,privateeye,qbert,roadrunner,seaquest,upndown,MedianHNS26
DER \cite{hasselt_when_2019},7.422517554475033,10.668541718940556,40.18590866226593,3.144707173260343,4.980376234943835,22.29445122388917,1.244813278008299,0.6254343293954132,0.7724121153144379,21.57699539700345,19.568097727785016,94.25481581615408,18.775032205176245,4.264699057960925,19.564233275602923,99.5617238860482,24.38149513912169,117.42470373319593,62.67339330361512,13.49728338575922,3.993203058623619,0.1047646490772486,7.441208867273789,122.4037786430076,0.6804600548274081,21.00396064445599,16.13615779546773
CURL \cite{srinivas_curl_2020},4.789165138877819,7.955162131724366,72.78728276976963,6.324382332726418,15.888482879956692,35.91989089081903,9.54356846473029,11.049339819318972,3.7632283177229047,5.453333280104116,36.58909358798854,90.19939168638054,26.141234336573365,19.105294909276527,17.6256055904425,161.4317019722425,27.505866577271203,246.52676940371916,62.50300296292342,17.431482624204204,11.922967997734355,0.2781741560593538,6.609826711368193,72.1197421331461,0.7528646248895474,21.70110575458341,17.528544107323352
OTRainbow (100k) \cite{kielak_importance_2020},8.651511967478026,4.494873754908883,24.924462577702503,5.046242147275512,22.72296657193125,4.882922977532123,20.33195020746889,28.21403752605976,3.380519401532659,42.10683902287126,30.77248712154948,84.45420750253464,3.8974118749268056,24.14961251102139,18.22796610539195,30.4236669101534,18.55179349648005,157.37036863553328,24.307094110633603,9.551043751787246,62.33361653922401,0.1079280065843848,2.59887804789965,34.278419608093444,0.5204554819071936,20.736930769368623,20.534440488418756
SPR \cite{schwarzer_data-efficient_2021},8.315277646939471,9.950809053934984,67.0907026423664,9.258075796124585,49.62782514548653,41.03366592491565,296.6804979253112,53.43988881167477,2.4905729230020675,128.32140333507658,21.613256145096297,82.42649543764784,41.135964398641526,21.235324144971923,20.108538988833008,122.863403944485,108.09252430439156,195.8733430137243,57.54210821343726,15.139292325752905,41.94279241008213,0.1424373612076893,3.801184550286206,181.3876300504245,1.225876059571813,247.3619598917543,41.53937840436183
DrQ \cite{kostrikov_image_2021},7.876144030029204,5.661918738657781,44.26589172648717,4.744793990329543,20.936527270266616,30.418491134879048,49.37759336099585,49.96525364836692,-0.4667923610266398,38.8679742423819,52.85140164822176,33.085501858736066,6.227895538119219,17.573901341129513,9.091885314584877,75.6026296566837,29.788803218236676,226.71319499742376,39.38330263637901,9.830982947789837,34.57943925233645,-0.0554162719659231,5.195348473266361,113.4052466968788,0.5544665760021722,23.72264735927167,26.75572528875417
EfficientZero \cite{ye_mastering_2021},8.416727657446794,8.334451751442758,200.28675352668347,305.64190370540075,45.58126945459467,33.05204220802527,436.929460580913,1432.8700486448922,4.657280136236467,292.06751593882365,706.5599006009027,73.63974315647178,5.412811804660969,139.34289294166783,27.815733388188967,178.23228634039444,22.53100905129065,380.8375099536278,136.51825356574042,14.65767650467318,115.57632398753891,0.1031829703236805,102.45953689380578,226.46071360183825,2.4574682694116894,149.9202494668363,109.01793044067236
PlayVirtual \cite{yu_playvirtual_2021},10.43558286654251,9.30893431287309,92.35965435615172,8.72149807676076,31.357423196643666,31.297107171057355,317.4273858921162,65.60111188325226,1.693832867047804,49.48800146912639,53.85748764383457,54.37647854004732,44.95842604520436,19.801382894797896,25.404949020836977,133.5646457268079,78.19979886020784,213.84139772354672,62.28589986564521,15.47341330162696,50.15576323987538,0.0991568789509616,26.00397859623568,172.62398672368673,1.0939282575506777,86.845642395025,47.22321375716537
SGI-M \cite{schwarzer_pretraining_2021},12.666033811839217,9.47815583551668,131.3889263101172,7.543438679415915,80.41683583705507,31.03869068982844,305.8091286307054,142.73801250868658,9.01654299963508,310.51543181536914,44.8631887978097,101.35180804325786,15.835577936526525,65.09814840595853,21.63474267796397,123.22863403944484,71.09621186724775,387.4607709962996,70.64436911085605,18.251734569480607,80.17558765222316,0.0935491088246746,4.107404041194421,234.3613965660305,1.5719413237174984,705.1685514077313,67.8712587584073
SWM (4 frames) \cite{robine_smaller_2021},2.6398742019869705,1.857352091636372,29.44708531398549,3.549853496195724,11.774259033698742,9.392577704400258,-23.651452282157678,24.6004169562196,-0.6811823379150947,146.73857933881328,2.3601787864293846,83.10239945927678,3.4945543974704294,19.935959905332037,8.143209450650566,13.732651570489406,6.469996647670131,180.0693240901213,51.8048919378231,5.190915521574883,92.07023506088927,0.1070652727188022,2.3852015481012887,19.7995787323674,0.9281598997768322,5.3298446208713415,7.306603049160349
ADAT+ \cite{kim_action-driven_2022},11.622547989478186,8.25859382749908,101.4241450318508,7.885883785706535,20.273379347678983,54.21003517335439,2.904564315352697,9.65948575399583,4.4854640554677045,41.75632462902562,38.47481761255244,100.33795201081446,43.98641527110903,15.945055455009513,20.913923521355944,221.58509861212565,30.335232986925917,178.44863928052837,84.02735143118989,11.554264557590717,15.887850467289722,0.522040262064039,10.63958492587532,159.5263930554669,0.4363328037955238,27.45927346368214,20.593651434517465
