Rank,Games,Methods,Train RMSE,CV RMSE,CV MAE,CV R2,Approx Relative Error (%),Coefficients
1,"assault, bankheist, roadrunner",42,0.11333414856551792,0.12019403456358645,0.09140243201173837,0.7889387521773501,21.046187741363052,"0.2871732008, 0.228945619, 0.3096459396"
2,"assault, bankheist, upndown",42,0.11560374690940162,0.12408280047397206,0.1046742717969928,0.7750604365564069,24.102141785976265,"0.4832633613, 0.2056348804, 0.1719967713"
3,"bankheist, boxing, jamesbond",42,0.11728043886536853,0.12420153071060544,0.1010164568260501,0.7746297579285152,23.259898763473956,"0.2010473571, 0.1346160627, 0.4768922572"
4,"bankheist, jamesbond, pong",42,0.1173791711561689,0.12555259048633247,0.09113741855048463,0.7696999511002036,20.98516613683049,"0.2003337478, 0.4184293663, 0.2440396045"
5,"assault, bankheist, boxing",42,0.1205329494372759,0.12611549774542935,0.09494779872428588,0.7676302497934124,21.86253859551397,"0.4910574133, 0.2482102129, 0.0968493094"
6,"alien, breakout, hero",42,0.11882927159430957,0.12631140656309636,0.09943988203766521,0.7669077590297231,22.89687900290143,"0.5351084616, 0.2050770842, 0.5230256591"
7,"bankheist, breakout, roadrunner",42,0.11834020879416988,0.12686799992453895,0.10047766328511343,0.7648489831373011,23.13583696591773,"0.2224511604, 0.09816222267, 0.4915619823"
8,"breakout, hero, upndown",42,0.11824245207558663,0.12757334938314785,0.09701812187565463,0.7622269709747113,22.33924811811619,"0.2208355573, 0.6260194082, 0.2006315616"
9,"bankheist, crazyclimber, jamesbond",42,0.12052915383083483,0.12931427918503033,0.1031270731789348,0.7556931516063524,23.74588613859213,"0.2022801323, 0.2014213667, 0.4226280136"
10,"bankheist, boxing, roadrunner",42,0.12037235500650917,0.13112232023129794,0.09855688289432635,0.7488137133648173,22.693560936443568,"0.2235082264, 0.08531026077, 0.489825131"
11,"assault, bankheist, hero",42,0.1236102243720677,0.1313528639259876,0.09892678028997368,0.7479296484150988,22.778732959359054,"0.4476634858, 0.2257737589, 0.2693877446"
12,"asterix, bankheist, roadrunner",42,0.12024460725359944,0.13159005228856074,0.10989307001276069,0.7470184823709776,25.303814483473374,"0.1252656045, 0.2262478243, 0.510293201"
13,"bankheist, breakout, hero",42,0.12342348507405375,0.13170133691658215,0.10671922982642634,0.7465904126505543,24.573010773413483,"0.1655668715, 0.218290547, 0.7044862546"
14,"breakout, hero, mspacman",42,0.12399291754451866,0.1317248254591292,0.1078413995300533,0.7465000148946285,24.831399896551577,"0.2173480362, 0.5302132567, 0.396098382"
15,"bankheist, breakout, jamesbond",42,0.1224554968498999,0.13220073133281957,0.10845661457290516,0.7446649763710781,24.97305839521722,"0.2100442774, 0.1358586002, 0.4895094925"
16,"bankheist, pong, roadrunner",42,0.12216591585874648,0.1322498066814248,0.10357354507801289,0.7444753710493149,23.848690092517927,"0.2240769545, 0.1522634295, 0.4557000037"
17,"alien, assault, bankheist",42,0.12467986237736293,0.13229571105057053,0.09951494243177499,0.7442979532836953,22.91416229735657,"0.3640332214, 0.4634393327, 0.1997994956"
18,"assault, bankheist, jamesbond",42,0.12555218634535845,0.13269520118784078,0.10351437876935103,0.7427513471913676,23.835066546484697,"0.3669835772, 0.2405237034, 0.2373490395"
19,"amidar, assault, bankheist",42,0.12107525236121108,0.13304634173866514,0.10315264023833315,0.741388073314283,23.751773171576364,"0.3980446349, 0.4248527323, 0.2372035238"
20,"bankheist, breakout, kungfumaster",42,0.12270178255341761,0.13314415906743698,0.09991474678890795,0.7410076641010563,23.006220652641414,"0.2359642153, 0.1554194647, 0.5042411115"
21,"assault, bankheist, mspacman",42,0.12766762456799377,0.13376863365568858,0.10718061629280044,0.7385725078419207,24.6792489333717,"0.4669729166, 0.2337961591, 0.2386133241"
22,"bankheist, crazyclimber, roadrunner",42,0.12361256971652532,0.1339006118628393,0.10786671911446558,0.7380563965348605,24.83722994631443,"0.2248992343, 0.1207124002, 0.4633251397"
23,"bankheist, demonattack, roadrunner",42,0.12304136722316153,0.1343207769500323,0.11294973334182626,0.7364099181099628,26.007637225054165,"0.2329807353, 0.06250059862, 0.5285971193"
24,"assault, bankheist, kangaroo",42,0.12284703847382238,0.1344462144935917,0.10794855025879982,0.7359173728487143,24.856072263623098,"0.5098955276, 0.2033247145, 0.1428051625"
25,"alien, assault, boxing",42,0.12853852001014435,0.13488283707630533,0.1028987465509986,0.7341993375975266,23.69331198961018,"0.6593288872, 0.3412706551, 0.1180569766"
