Game,DER,CURL,OTRainbow (100k),SPR,DrQ,EfficientZero,PlayVirtual,SGI-M,SWM (4 frames),ADAT+,EqR (LR+LGET),S-RYM,MLR,A-LIX,VCR-K5,BarlowRL,BBF (RR8),SR-SPR (RR16),STORM,TWM,IRIS,DIAMOND,EZ-V2,SAC-BBF (RR2),HarmonyDream (DreamerV3),REM,DART,MOOSS,DreamerV3,SimPLe,PaMoRL,Drama (XS),DyMoDreamer,EDELINE,FNC,RLPD-GX,TWISTER,GIT-STORM,EMERALD,OC-STORM,JEDI,Simulus
alien,739.9,558.2,824.7,801.5,771.2,808.5,947.8,1101.7,409.9,1029.7,872.9,679.2,990.1,902.0,822.4,734.9,1173.2,1107.8,984.0,674.6,420.0,744.1,1557.7,1158.44,890.0,607.2,962.0,951.1,1118.0,616.9,1270.6,820.0,971.0,974.6,1250.3,2365.0,970.0,1145.0,651.0,1101.0,1090.1,687.2
amidar,188.6,142.1,82.8,176.3,102.8,148.6,165.3,168.2,37.6,147.3,138.4,118.62,227.7,174.27,170.6,189.9,244.6,203.4,205.0,121.8,143.0,225.8,184.9,211.698,141.0,95.3,125.7,207.5,97.0,74.3,264.4,131.0,154.2,299.5,173.7,286.0,184.0,181.0,129.0,163.0,114.3,102.4
assault,431.2,600.6,351.9,571.0,452.4,1263.1,702.3,905.1,375.4,749.4,734.3,706.26,643.7,660.53,571.6,796.2,2098.5,1088.9,801.0,682.6,1524.4,1526.4,1757.5,1846.01,1003.0,1764.2,1316.0,667.0,683.0,527.2,883.8,539.0,902.1,1225.8,2521.4,2136.0,721.0,967.0,798.0,1270.0,1394.5,1822.8
asterix,470.8,734.5,628.5,977.8,603.5,25557.8,933.3,835.6,504.4,864.0,902.5,535.0,883.7,809.5,1071.5,848.2,3946.1,903.1,1028.0,1116.6,853.6,3698.5,61810.0,5641.45,1140.0,1637.5,956.2,1140.0,1062.0,1128.3,2957.3,1632.0,1195.5,4224.5,4410.7,23672.0,1306.0,811.0,1045.0,1754.0,2331.0,1369.1
bankheist,51.0,131.6,182.1,380.9,168.9,351.0,245.9,608.4,101.2,164.0,397.4,255.0,180.3,639.4,303.7,466.5,732.9,531.7,641.0,466.7,53.1,19.7,1316.7,866.61,1069.0,19.2,629.7,288.0,398.0,34.2,255.9,137.0,1222.2,854.0,781.3,1582.0,942.0,503.0,927.0,1075.0,926.1,347.1
battlezone,10124.6,14870.0,4060.6,16651.0,12954.0,13871.2,13260.0,13170.0,5631.2,21240.0,13255.0,25800.0,16080.0,14470.0,13261.0,19322.0,24459.8,17671.0,13540.0,5068.0,13074.0,4702.0,14433.3,21961.0,16456.0,11826.0,15325.0,11363.3,20300.0,4031.2,23120.0,10860.0,16240.0,5683.3,23338.0,20326.0,9920.0,9470.0,15800.0,4590.0,16084.0,13262.0
boxing,0.2,1.2,2.5,35.8,6.0,52.7,38.3,36.9,-2.8,0.4,39.2,9.28,26.4,21.5,42.5,0.3,85.8,45.8,80.0,77.5,70.1,86.9,75.0,84.097,80.0,87.5,83.0,22.4,82.0,7.8,87.9,78.0,93.6,88.1,79.8,95.0,88.0,81.0,71.0,92.0,91.6,93.5
breakout,1.9,4.9,9.84,17.1,16.1,414.1,20.6,42.8,8.8,4.5,16.0,58.18,16.8,23.52,18.4,2.6,370.6,25.5,16.0,20.0,83.7,132.5,400.1,327.044,53.0,90.7,41.9,16.8,10.0,16.4,15.8,7.0,40.2,250.5,374.2,562.0,35.0,12.0,62.0,52.0,155.6,148.9
choppercommand,861.8,1058.5,1033.33,974.8,780.3,1117.3,922.4,1404.0,766.2,1106.0,1142.2,888.0,910.7,747.0,1024.2,1186.0,7549.3,2362.1,1888.0,1697.4,1565.0,1369.8,1196.6,8825.6,1510.0,2561.2,1263.8,1477.0,2222.0,979.4,2110.7,1642.0,740.4,2047.3,2802.2,4624.0,910.0,2048.0,990.0,2090.0,1392.4,3611.6
crazyclimber,16185.3,12146.5,21327.8,42923.6,20516.5,83940.2,23176.7,88561.2,47536.9,21240.0,52008.1,22226.0,24633.3,53166.0,40048.4,23250.8,58431.8,45544.1,66776.0,71820.4,59324.2,99167.8,112363.3,84932.6,82739.0,76547.6,34070.6,21093.3,86225.0,62583.6,84102.0,83931.0,82569.4,101781.0,63323.2,124632.0,81880.0,55237.0,75380.0,84111.0,64786.2,93433.2
